FECHA,CODPRO,CANTID,NETO
04/07/2018,DS453146,1,25490
04/07/2018,DS460116,2,13980
04/07/2018,DS453582,1,5490
04/07/2018,DS452718,1,20490
04/07/2018,DS463031,1,43990
04/07/2018,DS460973,1,11490
04/07/2018,DS461135,2,372980
04/07/2018,DS462901,2,159980
04/07/2018,DS460115,1,9490
04/07/2018,DS462879,2,58000
04/07/2018,DS463037,1,214990
04/07/2018,DS463038,1,128990
04/07/2018,DS461273,1,9490
04/07/2018,DS452720,3,92970
04/07/2018,DS462963,10,104900
04/07/2018,DS462542,2,58656
04/07/2018,DS462925,3,368157
04/07/2018,DS462677,1,4193
04/07/2018,DS455804,1,47490
03/07/2018,DS454633,1,9990
03/07/2018,DS462881,1,26000
03/07/2018,DS453276,6,32940
03/07/2018,DS462871,1,55490
03/07/2018,DS462880,1,45490
03/07/2018,DS461262,1,18490
03/07/2018,DS460273,1,25990
03/07/2018,DS462981,1,11490
03/07/2018,DS451950,1,27490
03/07/2018,DS462994,1,10490
03/07/2018,DS454484,1,86490
29/06/2018,DS451505,1,54990
29/06/2018,DS461410,1,19900
29/06/2018,DS460116,3,22470
29/06/2018,DS452705,1,91490
29/06/2018,DS462887,1,72490
29/06/2018,DS462878,1,276490
29/06/2018,DS460115,1,10990
29/06/2018,DS460936,1,11400
29/06/2018,DS453276,4,21960
28/06/2018,DS461015,1,58990
28/06/2018,DS460033,2,17980
27/06/2018,DS461214,1,33490
27/06/2018,DS461522,1,174990
27/06/2018,DS460244,1,48490
27/06/2018,DS454647,1,2915
27/06/2018,DS455249,1,2915
27/06/2018,DS455250,1,2915
27/06/2018,DS455251,1,2915
27/06/2018,DS452718,1,20490
27/06/2018,DS455889,1,17990
27/06/2018,DS460455,2,52000
27/06/2018,DS451933,1,18405
27/06/2018,DS454193,5,104950
27/06/2018,DS461273,1,10490
27/06/2018,DS462865,1,12490
27/06/2018,DS461336,3,44970
27/06/2018,DS460942,1,11490
27/06/2018,DS460940,2,22980
27/06/2018,DS462840,1,14490
27/06/2018,DS461370,1,20490
27/06/2018,DS462868,3,55470
27/06/2018,DS461131,2,44980
27/06/2018,DS461226,1,30000
27/06/2018,DS460936,1,11400
27/06/2018,DS461337,3,34470
27/06/2018,DS455249,1,2915
27/06/2018,DS455250,1,2915
27/06/2018,DS455251,1,2915
27/06/2018,DS459384,1,39000
27/06/2018,DS460936,3,34200
27/06/2018,DS455249,1,2915
27/06/2018,DS455250,1,2915
27/06/2018,DS455251,1,2915
27/06/2018,DS462687,2,32980
27/06/2018,DS461388,2,528000
27/06/2018,DS462806,1,78990
27/06/2018,DS462841,1,30990
27/06/2018,DS462839,1,238490
27/06/2018,DS460244,1,46990
27/06/2018,DS454790,3,644808
27/06/2018,DS462867,1,25990
26/06/2018,DS460557,1,16434
26/06/2018,DS453276,1,5490
26/06/2018,DS453754,1,108990
26/06/2018,DS460250,1,84490
26/06/2018,DS453568,2,33980
26/06/2018,DS460968,1,15990
26/06/2018,DS455249,1,2915
26/06/2018,DS455250,1,2915
26/06/2018,DS455251,1,2915
26/06/2018,DS453276,6,32940
26/06/2018,DS462800,1,62990
26/06/2018,DS453276,5,27450
26/06/2018,DS453860,10,34900
26/06/2018,DS462808,8,51920
26/06/2018,DS462809,1,40990
26/06/2018,DS452718,1,20490
26/06/2018,DS462783,1,41990
21/06/2018,DS462773,1,97990
21/06/2018,DS459757,1,37990
21/06/2018,DS451757,1,16990
21/06/2018,DS451936,2,25980
21/06/2018,DS461468,1,5034
21/06/2018,DS455250,1,2915
21/06/2018,DS455251,1,2915
21/06/2018,DS462596,1,328640
21/06/2018,DS461224,1,15990
21/06/2018,DS454759,3,77970
21/06/2018,DS452718,1,20490
21/06/2018,DS460147,3,58470
21/06/2018,DS461653,1,172594
21/06/2018,DS460147,1,18990
21/06/2018,DS460115,1,10990
21/06/2018,DS459249,1,29990
21/06/2018,DS459418,1,136025
21/06/2018,DS460665,2,23980
21/06/2018,DS452720,1,34990
21/06/2018,DS460622,2,7980
21/06/2018,DS461109,1,11990
21/06/2018,DS461131,1,22490
21/06/2018,DS460244,2,95980
21/06/2018,DS460936,2,22800
21/06/2018,DS461494,1,166031
21/06/2018,DS452718,1,20490
21/06/2018,DS460091,2,53940
21/06/2018,DS455804,1,47990
21/06/2018,DS462482,1,21490
21/06/2018,DS462693,1,78490
21/06/2018,DS454625,1,6490
21/06/2018,DS460862,2,25000
21/06/2018,DS461337,4,45960
21/06/2018,DS455609,1,176490
21/06/2018,DS462771,1,175990
21/06/2018,DS462688,1,22990
21/06/2018,DS460147,1,18990
21/06/2018,DS454314,1,126990
21/06/2018,DS451793,2,110980
21/06/2018,DS461410,1,19900
21/06/2018,DS453484,1,59990
21/06/2018,DS462649,2,867336
21/06/2018,DS458232,1,17490
21/06/2018,DS460942,1,10990
21/06/2018,DS462692,1,139990
21/06/2018,DS460244,1,47990
20/06/2018,DS459418,1,136025
20/06/2018,DS461131,1,22490
20/06/2018,DS462531,1,17490
20/06/2018,DS462545,1,16490
20/06/2018,DS461359,1,31924
20/06/2018,DS453754,1,109490
20/06/2018,DS461138,1,16490
20/06/2018,DS460665,1,11990
20/06/2018,DS460942,1,11490
20/06/2018,DS462572,15,299850
20/06/2018,DS454484,1,87490
20/06/2018,DS460014,1,9490
20/06/2018,DS461108,1,17490
20/06/2018,DS461216,1,7990
20/06/2018,DS456029,1,284490
20/06/2018,DS461492,1,53352
20/06/2018,DS460244,3,143970
20/06/2018,DS451794,3,31470
19/06/2018,DS461410,1,19900
19/06/2018,DS459384,1,39000
19/06/2018,DS460244,1,59490
19/06/2018,DS461522,1,173990
19/06/2018,DS462476,1,56990
19/06/2018,DS462493,1,78990
19/06/2018,DS462469,1,22490
19/06/2018,DS460594,1,33990
19/06/2018,DS451505,1,54990
19/06/2018,DS454647,1,2915
19/06/2018,DS460244,1,47990
19/06/2018,DS461068,1,11990
19/06/2018,DS454625,2,12980
19/06/2018,DS461343,1,15490
19/06/2018,DS461138,2,32980
19/06/2018,DS461198,1,31490
19/06/2018,DS454647,10,29150
19/06/2018,DS454647,4,11660
19/06/2018,DS455249,2,5830
19/06/2018,DS455250,2,5830
19/06/2018,DS455251,2,5830
19/06/2018,DS454484,1,87490
19/06/2018,DS461383,1,136990
19/06/2018,DS452724,1,98990
18/06/2018,DS461329,2,110980
18/06/2018,DS454484,1,87490
18/06/2018,DS461135,1,189490
18/06/2018,DS460940,1,11490
18/06/2018,DS461220,1,37807
18/06/2018,DS460791,4,49960
18/06/2018,DS460791,5,62450
18/06/2018,DS461355,2,59000
18/06/2018,DS461227,4,75960
18/06/2018,DS453860,3,10470
18/06/2018,DS455544,1,12490
18/06/2018,DS461247,4,47960
18/06/2018,DS461106,4,105848
18/06/2018,DS460278,1,199352
18/06/2018,DS454484,1,87490
18/06/2018,DS460978,2,20980
18/06/2018,DS458746,1,13490
15/06/2018,DS461262,1,20990
15/06/2018,DS461369,1,84990
15/06/2018,DS455889,6,107940
15/06/2018,DS460940,2,22980
15/06/2018,DS453170,1,31990
15/06/2018,DS461404,1,47490
15/06/2018,DS461286,1,10990
15/06/2018,DS461155,1,27723
15/06/2018,DS461056,1,68990
15/06/2018,DS460665,1,11990
15/06/2018,DS460278,1,206490
15/06/2018,DS460116,2,13980
15/06/2018,DS453085,1,34490
15/06/2018,DS460568,4,195416
15/06/2018,DS461382,1,33990
15/06/2018,DS461384,2,16980
15/06/2018,DS461015,1,58990
15/06/2018,DS453582,1,5490
15/06/2018,DS460662,2,13980
15/06/2018,DS461273,2,20980
15/06/2018,DS460567,4,5960
15/06/2018,DS452715,1,33990
14/06/2018,DS461297,1,41990
14/06/2018,DS461219,1,432490
14/06/2018,DS461312,1,72990
14/06/2018,DS461186,1,20990
14/06/2018,DS459762,1,18490
14/06/2018,DS458346,1,34490
14/06/2018,DS461274,1,19490
14/06/2018,DS461366,1,10990
14/06/2018,DS451794,1,15494
14/06/2018,DS460936,1,11400
14/06/2018,DS454647,1,2915
14/06/2018,DS454561,2,27980
14/06/2018,DS461263,1,24990
14/06/2018,DS461197,4,43960
14/06/2018,DS453142,1,21490
14/06/2018,DS460942,4,43960
14/06/2018,DS461109,4,47960
14/06/2018,DS453177,1,76490
14/06/2018,DS461337,2,21980
14/06/2018,DS461370,1,20490
14/06/2018,DS455901,1,11490
14/06/2018,DS460116,2,13980
14/06/2018,DS461243,2,36980
14/06/2018,DS460942,5,54950
14/06/2018,DS461280,1,8490
14/06/2018,DS455544,1,12490
14/06/2018,DS454647,2,5830
14/06/2018,DS455250,1,2915
14/06/2018,DS455251,1,2915
14/06/2018,DS452718,1,20490
14/06/2018,DS461341,1,14990
14/06/2018,DS461342,1,27990
14/06/2018,DS461335,1,79490
14/06/2018,DS461345,1,235990
14/06/2018,DS461346,1,5490
